[rosmaster.main][INFO] 2022-02-09 23:18:14,447: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-02-09 23:18:14,447: Starting ROS Master Node
[xmlrpc][INFO] 2022-02-09 23:18:14,448: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-02-09 23:18:14,448: Started XML-RPC server [http://hh:11311/]
[xmlrpc][INFO] 2022-02-09 23:18:14,448: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-02-09 23:18:14,448: Master initialized: port[11311], uri[http://hh:11311/]
[rosmaster.master][INFO] 2022-02-09 23:18:14,515: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 23:18:14,516: +PARAM [/roslaunch/uris/host_hh__43627] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 23:18:14,545: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 23:18:14,545: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 23:18:14,551: +SERVICE [/rosout/get_loggers] /rosout http://hh:42969/
[rosmaster.master][INFO] 2022-02-09 23:18:14,551: +SERVICE [/rosout/set_logger_level] /rosout http://hh:42969/
[rosmaster.master][INFO] 2022-02-09 23:18:14,551: +PUB [/rosout_agg] /rosout http://hh:42969/
[rosmaster.master][INFO] 2022-02-09 23:18:14,552: +SUB [/rosout] /rosout http://hh:42969/
[rosmaster.master][INFO] 2022-02-09 23:18:22,863: -PUB [/rosout_agg] /rosout http://hh:42969/
[rosmaster.master][INFO] 2022-02-09 23:18:22,863: -SUB [/rosout] /rosout http://hh:42969/
[rosmaster.master][INFO] 2022-02-09 23:18:22,864: -SERVICE [/rosout/get_loggers] /rosout rosrpc://hh:47731
[rosmaster.master][INFO] 2022-02-09 23:18:22,864: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://hh:47731
[rosmaster.main][INFO] 2022-02-09 23:18:22,919: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-02-09 23:18:22,919: stopping master...
[rospy.core][INFO] 2022-02-09 23:18:22,919: signal_shutdown [atexit]
