[rosmaster.main][INFO] 2022-02-09 15:34:21,529: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-02-09 15:34:21,529: Starting ROS Master Node
[xmlrpc][INFO] 2022-02-09 15:34:21,530: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-02-09 15:34:21,530: Started XML-RPC server [http://hh:11311/]
[rosmaster.master][INFO] 2022-02-09 15:34:21,530: Master initialized: port[11311], uri[http://hh:11311/]
[xmlrpc][INFO] 2022-02-09 15:34:21,530: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-02-09 15:34:21,582: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 15:34:21,583: +PARAM [/roslaunch/uris/host_hh__40281] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 15:34:21,617: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 15:34:21,617: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 15:34:21,623: +SERVICE [/rosout/get_loggers] /rosout http://hh:43267/
[rosmaster.master][INFO] 2022-02-09 15:34:21,623: +SERVICE [/rosout/set_logger_level] /rosout http://hh:43267/
[rosmaster.master][INFO] 2022-02-09 15:34:21,623: +PUB [/rosout_agg] /rosout http://hh:43267/
[rosmaster.master][INFO] 2022-02-09 15:34:21,624: +SUB [/rosout] /rosout http://hh:43267/
[rosmaster.master][INFO] 2022-02-09 15:38:58,931: -PUB [/rosout_agg] /rosout http://hh:43267/
[rosmaster.master][INFO] 2022-02-09 15:38:58,931: -SUB [/rosout] /rosout http://hh:43267/
[rosmaster.master][INFO] 2022-02-09 15:38:58,931: -SERVICE [/rosout/get_loggers] /rosout rosrpc://hh:32893
[rosmaster.master][INFO] 2022-02-09 15:38:58,932: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://hh:32893
[rosmaster.main][INFO] 2022-02-09 15:38:59,036: keyboard interrupt, will exit
[rosmaster.main][INFO] 2022-02-09 15:38:59,037: stopping master...
[rospy.core][INFO] 2022-02-09 15:38:59,037: signal_shutdown [atexit]
