[rosmaster.main][INFO] 2022-02-09 16:43:18,673: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2022-02-09 16:43:18,673: Starting ROS Master Node
[xmlrpc][INFO] 2022-02-09 16:43:18,674: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2022-02-09 16:43:18,674: Started XML-RPC server [http://192.168.209.67:11311/]
[xmlrpc][INFO] 2022-02-09 16:43:18,674: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2022-02-09 16:43:18,674: Master initialized: port[11311], uri[http://192.168.209.67:11311/]
[rosmaster.master][INFO] 2022-02-09 16:43:18,739: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:43:18,741: +PARAM [/roslaunch/uris/host_192_168_209_67__34439] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:43:18,773: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:43:18,773: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:43:18,778: +SERVICE [/rosout/get_loggers] /rosout http://192.168.209.67:42777/
[rosmaster.master][INFO] 2022-02-09 16:43:18,779: +SERVICE [/rosout/set_logger_level] /rosout http://192.168.209.67:42777/
[rosmaster.master][INFO] 2022-02-09 16:43:18,779: +PUB [/rosout_agg] /rosout http://192.168.209.67:42777/
[rosmaster.master][INFO] 2022-02-09 16:43:18,781: +SUB [/rosout] /rosout http://192.168.209.67:42777/
[rosmaster.master][INFO] 2022-02-09 16:44:14,417: +PARAM [/roslaunch/uris/host_192_168_209_172__40329] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,460: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,460: +PARAM [/turtlebot3_core/port] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,460: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,461: +PARAM [/turtlebot3_core/baud] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,461: +PARAM [/turtlebot3_lds/port] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,461: +PARAM [/turtlebot3_lds/frame_id] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,461: +PARAM [/turtlebot3_core/tf_prefix] by /roslaunch
[rosmaster.master][INFO] 2022-02-09 16:44:14,697: +PUB [/rosout] /turtlebot3_lds http://192.168.209.172:43725/
[rosmaster.master][INFO] 2022-02-09 16:44:14,711: +SERVICE [/turtlebot3_lds/get_loggers] /turtlebot3_lds http://192.168.209.172:43725/
[rosmaster.master][INFO] 2022-02-09 16:44:14,718: +SERVICE [/turtlebot3_lds/set_logger_level] /turtlebot3_lds http://192.168.209.172:43725/
[rosmaster.master][INFO] 2022-02-09 16:44:14,738: +PUB [/rosout] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,751: +SERVICE [/turtlebot3_diagnostics/get_loggers] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,765: +SERVICE [/turtlebot3_diagnostics/set_logger_level] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,781: publisherUpdate[/rosout] -> http://192.168.209.67:42777/ ['http://192.168.209.172:43725/']
[rosmaster.master][INFO] 2022-02-09 16:44:14,784: +PUB [/diagnostics] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,785: publisherUpdate[/rosout] -> http://192.168.209.67:42777/ ['http://192.168.209.172:43725/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:14,785: publisherUpdate[/rosout] -> http://192.168.209.67:42777/ ['http://192.168.209.172:43725/', 'http://192.168.209.172:34373/']
[rosmaster.master][INFO] 2022-02-09 16:44:14,786: publisherUpdate[/rosout] -> http://192.168.209.67:42777/ ['http://192.168.209.172:43725/', 'http://192.168.209.172:34373/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:14,790: +PUB [/scan] /turtlebot3_lds http://192.168.209.172:43725/
[rosmaster.master][INFO] 2022-02-09 16:44:14,796: +PUB [/version_info] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,798: +PUB [/rpms] /turtlebot3_lds http://192.168.209.172:43725/
[rosmaster.master][INFO] 2022-02-09 16:44:14,845: +SUB [/imu] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,899: +SUB [/scan] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,954: +SUB [/sensor_state] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:14,993: +SUB [/firmware_version] /turtlebot3_diagnostics http://192.168.209.172:34373/
[rosmaster.master][INFO] 2022-02-09 16:44:16,183: +PUB [/rosout] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:16,184: publisherUpdate[/rosout] -> http://192.168.209.67:42777/ ['http://192.168.209.172:43725/', 'http://192.168.209.172:34373/', 'http://192.168.209.172:42925/']
[rosmaster.master][INFO] 2022-02-09 16:44:16,186: publisherUpdate[/rosout] -> http://192.168.209.67:42777/ ['http://192.168.209.172:43725/', 'http://192.168.209.172:34373/', 'http://192.168.209.172:42925/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:16,705: +SERVICE [/turtlebot3_core/get_loggers] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:16,728: +SERVICE [/turtlebot3_core/set_logger_level] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:16,853: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:16,877: +CACHEDPARAM [/rosout/omit_topics] by /rosout
[rosmaster.master][INFO] 2022-02-09 16:44:16,969: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:16,997: +PUB [/diagnostics] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,342: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,392: +PUB [/sensor_state] /turtlebot3_core http://192.168.209.172:42925/
[rosmaster.master][INFO] 2022-02-09 16:44:19,393: publisherUpdate[/sensor_state] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']
[rosmaster.master][INFO] 2022-02-09 16:44:19,404: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,416: publisherUpdate[/sensor_state] -> http://192.168.209.172:34373/ ['http://192.168.209.172:42925/']: sec=0.02, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-09 16:44:19,421: +CACHEDPARAM [/rosout_disable_topics_generation] by /turtlebot3_core
[rosmaster.master][INFO] 2022-02-09 16:44:19,449: +PUB [/firmware_version] /turtlebot3_core http://192.168.209.172:42925/
